fips_code,duration_h_mean,duration_h_max,duration_h_sum,max_outage_rate_mean,max_outage_rate_max,mean_outage_rate_mean,PSVI_score,PSVI_rating
8014,14.17741935,112.5,879,0.016202973,0.093428264,0.013465201,0.027557763,Major
8015,23.27272727,187,1536,0.031261263,0.279906866,0.026326331,0.050990177,Severe
8017,17.88053097,183.75,2020.5,0.033485826,0.971751412,0.021825921,0.068922853,Extreme
8019,20.82677165,163.25,2645,0.048401008,0.706308681,0.024915714,0.0809812,Extreme
8021,31.6474359,197,1234.25,0.040057311,0.484970927,0.028141282,0.050653833,Severe
8023,40.36363636,144.75,1332,0.076299675,0.572656406,0.054395488,0.065998415,Extreme
8025,176.9375,404,2123.25,0.14853284,0.828465652,0.058188479,0.112677694,Extreme
8027,423.6666667,613,1271,0.032643482,0.095370173,0.014719622,0.067376681,Extreme
8029,9.769021739,87.25,898.75,0.018716934,0.375663564,0.014257275,0.031616192,Major
8031,2.704433498,72.75,549,0.005778294,0.080198862,0.004021581,0.01529884,Minor
8035,3.747685185,29.75,404.75,0.009918016,0.134754079,0.008126332,0.013930098,Minor
8037,7.752631579,65,736.5,0.013871913,0.164255033,0.012021414,0.023494673,Moderate
8039,9.573943662,85.25,679.75,0.030321637,0.690519142,0.025741472,0.036375769,Major
8041,1.572463768,31.5,217,0.005525848,0.055547142,0.004923916,0.007556727,Minor
8043,26.64864865,113.25,986,0.01466035,0.068272886,0.008990526,0.028541941,Major
8045,7.33,44.75,733,0.016313343,0.121716643,0.012392252,0.022933072,Moderate
8047,49.6,260.5,744,0.073734285,0.297315664,0.058197029,0.054330064,Severe
8049,126.225,383.5,1262.25,0.001862479,0.002265177,0.001697204,0.039395861,Severe
8051,53.125,267,1168.75,0.005700523,0.014244112,0.004534986,0.033398577,Major
8053,397.625,907,2385.75,0.055433186,0.121145374,0.036635043,0.105222688,Extreme
8059,2.813368056,85.5,810.25,0.007470974,0.27216883,0.004925971,0.023836367,Moderate
8063,77.67307692,675.25,4039,0.043378582,0.656732026,0.00819138,0.117847709,Extreme
8065,76.30357143,290.5,2136.5,0.051177378,0.563569682,0.026705565,0.075429261,Extreme
8067,6.894366197,121.25,489.5,0.016176553,0.274308277,0.014338261,0.022480464,Moderate
8069,3.193548387,51.25,198,0.00657915,0.109119686,0.004936158,0.008679447,Minor
8073,18.70212766,140.5,879,0.015069036,0.126329787,0.012538709,0.028432503,Major
8075,24.86071429,202.75,1740.25,0.036317227,0.621029412,0.02438508,0.060645914,Extreme
8077,3.287735849,32.5,522.75,0.014885755,0.106152433,0.012018142,0.017776633,Minor
8079,378.7777778,883.25,3409,0.047771124,0.100598802,0.028209354,0.120202836,Extreme
8081,21.16826923,194.75,2201.5,0.033471968,0.863109556,0.020792771,0.071184676,Extreme
